ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,AQI_Category
2017-08-19,253.33159728205536,43.855548247452695,219.6542678556806,253.33159728205536,253.33159728205536,-128.3631181876981,-128.3631181876981,-128.3631181876981,1.3567580494967557,1.3567580494967557,1.3567580494967557,-129.71987623719485,-129.71987623719485,-129.71987623719485,0.0,0.0,0.0,124.96847909435726,Moderate
2017-08-20,253.18500667125147,34.02176161308849,208.98149895426963,253.18500667125147,253.18500667125147,-131.17638121501693,-131.17638121501693,-131.17638121501693,-3.3323549946537043,-3.3323549946537043,-3.3323549946537043,-127.84402622036322,-127.84402622036322,-127.84402622036322,0.0,0.0,0.0,122.00862545623454,Moderate
2017-08-21,253.03841606044764,33.33828276264294,210.32006152891597,253.03841606044764,253.03841606044764,-132.0515358928872,-132.0515358928872,-132.0515358928872,-6.136635007702329,-6.136635007702329,-6.136635007702329,-125.91490088518485,-125.91490088518485,-125.91490088518485,0.0,0.0,0.0,120.98688016756046,Moderate
2017-08-24,252.84500421010782,51.02238285903435,220.04544085855707,252.84500421010782,252.84500421010782,-116.22503794235551,-116.22503794235551,-116.22503794235551,3.861980131998888,3.861980131998888,3.861980131998888,-120.08701807435442,-120.08701807435442,-120.08701807435442,0.0,0.0,0.0,136.61996626775232,Moderate
2017-08-25,252.78053359332787,48.57218155002493,225.39807132322926,252.78053359332787,252.78053359332787,-111.74191887153448,-111.74191887153448,-111.74191887153448,6.482667969733985,6.482667969733985,6.482667969733985,-118.22458684126848,-118.22458684126848,-118.22458684126848,0.0,0.0,0.0,141.0386147217934,Moderate
2017-08-30,252.45818050942813,57.13959899880989,238.691630687176,252.45818050942813,252.45818050942813,-109.59971700505687,-109.59971700505687,-109.59971700505687,1.0398185295864701,1.0398185295864701,1.0398185295864701,-110.63953553464334,-110.63953553464334,-110.63953553464334,0.0,0.0,0.0,142.85846350437126,Moderate
2017-08-31,252.39370989264816,57.92354295688758,233.1760277072707,252.39370989264816,252.39370989264816,-105.73727008275509,-105.73727008275509,-105.73727008275509,3.8619801319941525,3.8619801319941525,3.8619801319941525,-109.59925021474925,-109.59925021474925,-109.59925021474925,0.0,0.0,0.0,146.65643980989307,Moderate
2017-09-01,252.32923927586825,68.96144941980877,251.353964056625,252.32923927586825,252.32923927586825,-102.2623561809471,-102.2623561809471,-102.2623561809471,6.482667969732476,6.482667969732476,6.482667969732476,-108.74502415067957,-108.74502415067957,-108.74502415067957,0.0,0.0,0.0,150.06688309492114,Moderate
2017-09-02,252.2647686590883,53.55218417056225,236.77990330690568,252.2647686590883,252.2647686590883,-106.72335812200262,-106.72335812200262,-106.72335812200262,1.35675804950064,1.35675804950064,1.35675804950064,-108.08011617150325,-108.08011617150325,-108.08011617150325,0.0,0.0,0.0,145.54141053708568,Moderate
2017-09-03,252.20029804230833,49.05653692552691,227.23546348759112,252.20029804230833,252.20029804230833,-110.93556436524668,-110.93556436524668,-110.93556436524668,-3.3323549946621593,-3.3323549946621593,-3.3323549946621593,-107.60320937058452,-107.60320937058452,-107.60320937058452,0.0,0.0,0.0,141.26473367706166,Moderate
2017-09-04,252.1358274255284,54.46010538501334,228.42297580862174,252.1358274255284,252.1358274255284,-113.44497632196887,-113.44497632196887,-113.44497632196887,-6.1366350077037435,-6.1366350077037435,-6.1366350077037435,-107.30834131426512,-107.30834131426512,-107.30834131426512,0.0,0.0,0.0,138.6908511035595,Moderate
2017-09-05,252.07135680874848,50.26774536256176,226.1088431260611,252.07135680874848,252.07135680874848,-110.45715834068852,-110.45715834068852,-110.45715834068852,-3.2722346784588816,-3.2722346784588816,-3.2722346784588816,-107.18492366222964,-107.18492366222964,-107.18492366222964,0.0,0.0,0.0,141.61419846805995,Moderate
2017-09-06,252.0068861919685,56.1971942651422,234.39934053715808,252.0068861919685,252.0068861919685,-106.17803115099858,-106.17803115099858,-106.17803115099858,1.0398185295834315,1.0398185295834315,1.0398185295834315,-107.217849680582,-107.217849680582,-107.217849680582,0.0,0.0,0.0,145.82885504096993,Moderate
2017-09-07,251.94241557518856,59.859085188136234,238.26721222506185,251.94241557518856,251.94241557518856,-103.52570612845327,-103.52570612845327,-103.52570612845327,3.8619801319957556,3.8619801319957556,3.8619801319957556,-107.38768626044902,-107.38768626044902,-107.38768626044902,0.0,0.0,0.0,148.4167094467353,Moderate
2017-09-08,251.87794495840862,64.61741475231725,243.15527072994834,251.87794495840862,251.87794495840862,-101.18827734776794,-101.18827734776794,-101.18827734776794,6.482667969731924,6.482667969731924,6.482667969731924,-107.67094531749986,-107.67094531749986,-107.67094531749986,0.0,0.0,0.0,150.6896676106407,Moderate
2017-09-09,251.81347434162865,58.44345187710063,233.27002039494562,251.81347434162865,251.81347434162865,-106.68366983409642,-106.68366983409642,-106.68366983409642,1.3567580494952607,1.3567580494952607,1.3567580494952607,-108.04042788359169,-108.04042788359169,-108.04042788359169,0.0,0.0,0.0,145.12980450753224,Moderate
